encoding_lr,output_folder,final_network_lr,densify_start,gpu_id,test_LPIPS,network_lr,train_PSNR,psnr,train_SSIM,train_LPIPS,final_encoding_lr,test_PSNR,test_SSIM
1.00E-03,output/nl1.00E-04_fnl1.00E-05_el1.00E-03_fel1.00E-03_ds4000,1.00E-05,4000,1,0.3479270040988922,1.00E-04,23.6018123626709,23.354887310079775,0.752929151058197,0.3186351954936981,1.00E-03,23.846723556518555,0.6946882605552673
5.00E-04,output/nl5.00E-05_fnl5.00E-06_el5.00E-04_fel5.00E-04_ds4000,5.00E-06,4000,3,0.3768029808998108,5.00E-05,23.460508346557617,23.28832831462934,0.7364137172698975,0.3408150374889374,5.00E-04,23.556541442871094,0.6723379492759705
1.00E-03,output/nl1.00E-04_fnl1.00E-05_el1.00E-03_fel1.00E-03_ds3000,1.00E-05,3000,2,0.3532281816005707,1.00E-04,23.685697555541992,23.43159985187666,0.7555474042892456,0.3190806806087494,1.00E-03,23.855905532836914,0.6938313245773315
3.00E-03,output/nl3.00E-04_fnl3.00E-05_el3.00E-03_fel3.00E-03_ds3000,3.00E-05,3000,0,0.3415493071079254,3.00E-04,23.516239166259766,23.34915770076281,0.7637865543365479,0.30893760919570923,3.00E-03,23.689613342285156,0.7022818922996521
3.00E-03,output/nl3.00E-04_fnl3.00E-05_el3.00E-03_fel3.00E-03_ds4000,3.00E-05,4000,1,0.3370150625705719,3.00E-04,23.640193939208984,23.34053760850179,0.761996865272522,0.3075568377971649,3.00E-03,23.88318634033203,0.7027072906494141
5.00E-04,output/nl5.00E-05_fnl5.00E-06_el5.00E-04_fel5.00E-04_ds3000,5.00E-06,3000,0,0.38292041420936584,5.00E-05,23.590007781982422,23.369010260788766,0.7372959852218628,0.34296756982803345,5.00E-04,23.529321670532227,0.6691906452178955
