test_PSNR,lambda_dist,network_lr,final_encoding_lr,final_network_lr,test_LPIPS,test_SSIM,alpha_threshold,psnr,gpu_id,encoding_lr,output_folder
25.581518173217773,1.00E-05,3.00E-04,1.00E-02,3.00E-04,0.23321734368801117,0.8003847599029541,0,26.963364701888093,2,1.00E-02,output/el1.00E-02_fel1.00E-02_nl3.00E-04_fnl3.00E-04_ld1.00E-05_at0
25.656652450561523,1.00E-05,3.00E-04,6.00E-03,3.00E-04,0.23525168001651764,0.7984509468078613,0,26.971220311156294,1,6.00E-03,output/el6.00E-03_fel6.00E-03_nl3.00E-04_fnl3.00E-04_ld1.00E-05_at0
25.41529655456543,1.00E-05,3.00E-04,3.00E-04,3.00E-04,0.2551945447921753,0.7864862084388733,0,26.952880595440767,3,3.00E-03,output/el3.00E-03_fel3.00E-04_nl3.00E-04_fnl3.00E-04_ld1.00E-05_at0
25.464235305786133,1.00E-05,3.00E-04,3.00E-03,3.00E-04,0.24425512552261353,0.792927086353302,0,26.951532856719265,0,3.00E-03,output/el3.00E-03_fel3.00E-03_nl3.00E-04_fnl3.00E-04_ld1.00E-05_at0
25.506301879882812,1.00E-05,1.00E-03,3.00E-03,1.00E-03,0.236811563372612,0.794736385345459,0,27.030699921970104,2,3.00E-03,output/el3.00E-03_fel3.00E-03_nl1.00E-03_fnl1.00E-03_ld1.00E-05_at0
25.443649291992188,1.00E-05,3.00E-04,1.00E-03,3.00E-04,0.23322610557079315,0.7991110682487488,0,27.206668927515725,1,1.00E-02,output/el1.00E-02_fel1.00E-03_nl3.00E-04_fnl3.00E-04_ld1.00E-05_at0
25.4716854095459,1.00E-05,6.00E-04,3.00E-03,6.00E-04,0.23941798508167267,0.7929567694664001,0,26.870832857776126,3,3.00E-03,output/el3.00E-03_fel3.00E-03_nl6.00E-04_fnl6.00E-04_ld1.00E-05_at0
25.39327049255371,1.00E-05,3.00E-04,6.00E-04,3.00E-04,0.23972637951374054,0.794455349445343,0,27.11672488497165,0,6.00E-03,output/el6.00E-03_fel6.00E-04_nl3.00E-04_fnl3.00E-04_ld1.00E-05_at0
25.497175216674805,1.00E-05,3.00E-04,3.00E-03,3.00E-04,0.24479830265045166,0.7918741106987,0,26.933280527986867,0,3.00E-03,output/el3.00E-03_fel3.00E-03_nl3.00E-04_fnl3.00E-04_ld1.00E-05_at0
25.496015548706055,1.00E-05,6.00E-04,3.00E-03,6.00E-05,0.24170637130737305,0.7928933501243591,0,26.98517201793667,3,3.00E-03,output/el3.00E-03_fel3.00E-03_nl6.00E-04_fnl6.00E-05_ld1.00E-05_at0
25.3753662109375,1.00E-05,1.00E-04,3.00E-03,1.00E-04,0.2574268877506256,0.7850715517997742,0,26.98782986646702,1,3.00E-03,output/el3.00E-03_fel3.00E-03_nl1.00E-04_fnl1.00E-04_ld1.00E-05_at0
25.486845016479492,1.00E-05,1.00E-03,3.00E-03,1.00E-04,0.2384444624185562,0.7932230830192566,0,27.03846743133674,2,3.00E-03,output/el3.00E-03_fel3.00E-03_nl1.00E-03_fnl1.00E-04_ld1.00E-05_at0
25.3173885345459,1.00E-05,3.00E-04,3.00E-03,3.00E-04,0.24329255521297455,0.7922740578651428,3.92E-03,26.83044943414105,3,3.00E-03,output/el3.00E-03_fel3.00E-03_nl3.00E-04_fnl3.00E-04_ld1.00E-05_at3.92E-03
25.429960250854492,1.00E-06,3.00E-04,3.00E-03,3.00E-04,0.2449873685836792,0.7925097942352295,0,26.896656554019415,2,3.00E-03,output/el3.00E-03_fel3.00E-03_nl3.00E-04_fnl3.00E-04_ld1.00E-06_at0
25.527015686035156,1.00E-05,3.00E-04,3.00E-03,3.00E-04,0.2416205257177353,0.7931740283966064,0,26.967193460926033,1,3.00E-03,output/el3.00E-03_fel3.00E-03_nl3.00E-04_fnl3.00E-04_ld1.00E-05_at0
25.510435104370117,1.00E-04,3.00E-04,3.00E-03,3.00E-04,0.24226321280002594,0.7920796275138855,0,26.86141522861295,0,3.00E-03,output/el3.00E-03_fel3.00E-03_nl3.00E-04_fnl3.00E-04_ld1.00E-04_at0
25.4659481048584,1.00E-05,3.00E-04,3.00E-03,3.00E-04,0.24459463357925415,0.7911639213562012,1.00E-03,26.90290843595329,0,3.00E-03,output/el3.00E-03_fel3.00E-03_nl3.00E-04_fnl3.00E-04_ld1.00E-05_at1.00E-03
