final_network_lr,test_LPIPS,gpu_id,final_encoding_lr,network_lr,encoding_lr,test_PSNR,output_folder,psnr,test_SSIM
1.00E-03,0.24542801082134247,0,6.00E-03,1.00E-03,6.00E-03,25.378387451171875,output/el6.00E-03_fel6.00E-03_nl1.00E-03_fnl1.00E-03,25.470398620316892,0.7972180843353271
5.00E-04,0.24797900021076202,0,6.00E-03,5.00E-04,6.00E-03,25.288732528686523,output/el6.00E-03_fel6.00E-03_nl5.00E-04_fnl5.00E-04,25.916962422908373,0.7956345677375793
1.00E-04,0.2457946538925171,0,6.00E-03,1.00E-04,6.00E-03,25.21361541748047,output/el6.00E-03_fel6.00E-03_nl1.00E-04_fnl1.00E-04,26.08454186153096,0.7933683395385742
1.00E-03,0.24674759805202484,0,3.00E-03,1.00E-03,3.00E-03,25.17779541015625,output/el3.00E-03_fel3.00E-03_nl1.00E-03_fnl1.00E-03,25.834084621901034,0.7935592532157898
1.00E-03,0.2514021098613739,0,1.00E-03,1.00E-03,1.00E-03,25.403417587280273,output/el1.00E-03_fel1.00E-03_nl1.00E-03_fnl1.00E-03,25.88476315940373,0.7889862060546875
1.00E-03,0.2648526132106781,0,5.00E-04,1.00E-03,5.00E-04,24.44389533996582,output/el5.00E-04_fel5.00E-04_nl1.00E-03_fnl1.00E-03,25.545662850616566,0.779639720916748
