color_lr,encoding_lr,final_color_lr,final_encoding_lr,final_network_lr,final_shs_lr,gpu_id,network_lr,output_folder,psnr,shs_lr,test_LPIPS,test_PSNR,test_SSIM
1.00E-01,1.00E-02,1.00E-02,1.00E-03,5.00E-04,1.00E-04,2,5.00E-03,output/sl1.00E-03_fsl1.00E-04_cl1.00E-01_fcl1.00E-02_el1.00E-02_fel1.00E-03_nl5.00E-03_fnl5.00E-04,23.103869708723252,1.00E-03,0.39329060912132263,24.195119857788086,0.6690276861190796
1.00E-01,1.00E-02,1.00E-02,1.00E-04,5.00E-05,1.00E-04,1,5.00E-03,output/sl1.00E-03_fsl1.00E-04_cl1.00E-01_fcl1.00E-02_el1.00E-02_fel1.00E-04_nl5.00E-03_fnl5.00E-05,23.02189741065287,1.00E-03,0.3994327783584595,24.073623657226562,0.6622164249420166
1.00E-01,1.00E-02,1.00E-02,1.00E-04,5.00E-05,1.00E-05,3,5.00E-03,output/sl1.00E-04_fsl1.00E-05_cl1.00E-01_fcl1.00E-02_el1.00E-02_fel1.00E-04_nl5.00E-03_fnl5.00E-05,22.37873438625639,1.00E-04,0.42193084955215454,23.561325073242188,0.6386213302612305
