psnr,vert_lr_delay,output_folder,sh_step,lights_lr,final_lights_lr,densify_start,test_SSIM,gpu_id,lr_delay,test_PSNR,lambda_tv,test_LPIPS

27.094153111933778,50,output/ds3000_ll1.00E-03_fll1.00E-03_lt5.00E-02_ss1_ld50_vld50,1,1.00E-03,1.00E-03,3000,0.8004274964332581,2,50,25.762826919555664,5.00E-02,0.23293085396289825
27.039008173592315,50,output/ds3000_ll1.00E-03_fll1.00E-03_lt1.00E-02_ss1_ld50_vld50,1,1.00E-03,1.00E-03,3000,0.8003828525543213,0,50,25.750717163085938,1.00E-02,0.23347850143909454
27.000332713110524,50,output/ds3000_ll1.00E-03_fll1.00E-03_lt0.1_ss1_ld50_vld50,1,1.00E-03,1.00E-03,3000,0.7992039322853088,3,50,25.589624404907227,0.1,0.23115594685077667
26.995269741478776,50,output/ds3000_ll1.00E-03_fll1.00E-03_lt0.5_ss1_ld50_vld50,1,1.00E-03,1.00E-03,3000,0.7998884320259094,1,50,25.669492721557617,0.5,0.23255950212478638
27.058268602642983,50,output/ds3000_ll1.00E-03_fll1.00E-03_lt1_ss1_ld50_vld50,1,1.00E-03,1.00E-03,3000,0.800699770450592,3,50,25.547264099121094,1,0.23491954803466797

27.062670697980426,50,output/ds3000_ll1.00E-03_fll1.00E-03_lt0_ss1_ld50_vld50,1,1.00E-03,1.00E-03,3000,0.8006327748298645,2,50,25.78978729248047,0,0.23225821554660797
27.052945573630115,50,output/ds3000_ll1.00E-03_fll1.00E-03_lt0_ss1_ld50_vld50,1,1.00E-03,1.00E-03,3000,0.8004522323608398,2,50,25.777376174926758,0,0.23172907531261444
27.005043258656816,50,output/ds3000_ll1.00E-03_fll1.00E-03_lt0_ss1_ld50_vld50,1,1.00E-03,1.00E-03,3000,0.7997027039527893,3,50,25.732620239257812,0,0.234106183052063

26.99027231154148,250,output/ds3000_ll1.00E-03_fll1.00E-03_lt0_ss1_ld50_vld250,1,1.00E-03,1.00E-03,3000,0.7965742945671082,0,50,25.03287696838379,0,0.23532922565937042
26.996372231215823,500,output/ds3000_ll1.00E-03_fll1.00E-03_lt0_ss1_ld50_vld500,1,1.00E-03,1.00E-03,3000,0.7990002632141113,1,50,25.72100257873535,0,0.23523060977458954

26.95316145393349,50,output/ds3000_ll1.00E-03_fll1.00E-03_lt0_ss1_ld250_vld50,1,1.00E-03,1.00E-03,3000,0.7978435158729553,1,250,25.664222717285156,0,0.2369793802499771
26.956431917890804,50,output/ds3000_ll1.00E-03_fll1.00E-03_lt0_ss1_ld500_vld50,1,1.00E-03,1.00E-03,3000,0.7997174263000488,2,500,25.75199317932129,0,0.23294693231582642

26.862100231575862,50,output/ds3000_ll5.00E-04_fll5.00E-04_lt0_ss1_ld50_vld50,1,5.00E-04,5.00E-04,3000,0.7964152693748474,1,50,25.65720558166504,0,0.2359422892332077
26.386622560416953,50,output/ds3000_ll1.00E-04_fll1.00E-04_lt0_ss1_ld50_vld50,1,1.00E-04,1.00E-04,3000,0.7887279391288757,0,50,25.362348556518555,0,0.24101300537586212

26.90779719868864,50,output/ds3500_ll1.00E-03_fll1.00E-03_lt0_ss1_ld50_vld50,1,1.00E-03,1.00E-03,3500,0.7987706065177917,0,50,25.759002685546875,0,0.23476988077163696
26.98659711638549,50,output/ds4000_ll1.00E-03_fll1.00E-03_lt0_ss1_ld50_vld50,1,1.00E-03,1.00E-03,4000,0.7977932095527649,1,50,25.751333236694336,0,0.2388286143541336

26.985037896626906,50,output/ds3000_ll1.00E-03_fll1.00E-03_lt0_ss8_ld50_vld50,8,1.00E-03,1.00E-03,3000,0.7979522347450256,3,50,25.782503128051758,0,0.2331593632698059
26.859570390315454,50,output/ds3000_ll1.00E-03_fll1.00E-03_lt0_ss16_ld50_vld50,16,1.00E-03,1.00E-03,3000,0.7955636382102966,0,50,25.61397361755371,0,0.23523955047130585
