vertices_lr,final_vertices_lr,num_iter,log2_hashmap_size,render_size_min,num_densify_iter
5.00E-05,5.00E-06,7000,18,0,3500
1.00E-04,5.00E-06,7000,18,100,3500
5.00E-05,5.00E-06,7000,18,200,3500
5.00E-05,5.00E-06,7000,18,400,3500
5.00E-05,5.00E-06,7000,20,0,3500
5.00E-05,5.00E-06,7000,18,0,3500
5.00E-05,5.00E-06,7000,18,0,3500
5.00E-05,5.00E-06,7000,18,0,3500
5.00E-05,5.00E-06,10000,18,0,6500
5.00E-05,5.00E-06,15000,18,0,11500
